Position,Company,Location,URL
full details of Web Optimization Manager,CARFAX,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKxWoUkFR9lTfimVgh-uE6Dj0b8GE_Ik8E2plYzxUIRk90bsiHQux5wKHPutt6-gHx72AtV7NvvS6FbzCX3vGoGxAt4-S0j2hkELcmpU0RiVQp8dKn0oYK21GxbI0ru4ciVc0Y6nydZNSTE5VZhGYrt7SsAnZdWSckvokLS0dTy3noyna1EsisL4tjEMjpUQultT2JVsAVzGubCs-9sL1h9hOREO3Un_Hx_IXrmLkQxoCP_MayF4TrelrH3s0bdvYsNw1_hY8I1J6ZUEpKzlYyFStEWPktDFHSu0A5B8JoB2IlQqpWhA_e0o_wOXMybBbCPrKLCScfrjg4XjrvO7JEmbCX1Tow2B1xOrhB3skGt78USNmu2c-xvAmCftd0L2o6YuzxlEBwPq_EAloy9ehIUg4N7zUpbw359vuwP9xvo5gnEirmshHmMgNLhLGjrd32mvE8OOeWZxNWflKDXL6Zu2b30l6_DssPsCyHCvn8TtZIx17nAqO3fIAcmEkOfNb5rZQXNSEcO4fbe1DD_GESIr-C9Y60PVTvLrY062j0kS6_hCvUvVB47cOjWCF5844JudcBJ29Zm7oxhv58BdslHEQyfbH0Gas0bvLPSi1C-tPM7fLR7JbnxrteOA2vKNgTVk7RVlD7TYPEL6pwfWa-9qYmiX07LsZKTVvIPiu4PI7vChsQURLXP9E6YH4YJxdrw_ve-HVJwu6K75bc4sAha3B5H0UON7xMm_x0jwWHuFduPqOQq-zw2o8UsdHKwgn2xgAfPCJ0Epra0wZ1G7mf&xkcb=SoAP6_M3G7IioozOhJ0BbzkdCdPP&p=10&fvj=0&vjs=3
full details of Email Marketing Manager,CARFAX,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKxWoUkFR9lTfimVgh-uE6Dj0b8GE_Ik8E2plYzxUIRk90bsiHQux5wKHPutt6-gF7HwZlJCnfErc9yZQNOeXMd0EFHBkQ1z2pXqIATZU-WLmetFbV7VXHoBOrcLvNUWvXH7VnUzHNNCVS_yIaNbbfjNFb7BDaCAx0Wq1jCdB-qogROmSaJYhN0F98QtGBiUvWbhlfv8BPhBtmYCzAjUaKLyZRoYhzI9bET0DdrZZytvqEMyuQFjsP8S2RZS7i06dwkYE_nf_MzQiUu-afKntfh8XNwbWKazONmK23k5jkSz8e8M5HQILC81oYbaaEdjQeInK3CsHNlpoV6fA89tGaMvjIi4sx3DpaB8ZjzP-WlrfutIossK3owNCn6mC-4L5TJ4zirPcM-wrWxc9F1_8OAAGLNt4AMadIT-q7GdlEu2XkZGbW44mSn4AT_OEJTZNQGmCz49SyAkTc_fzwzKnUUXqq89jwG3U-CDd7VpDBPcNI5YXTNkvirPLRJJ1PJKMjsK94NTcQUj2RbLC2iRp5B7Vgv5eGRSk4JeD7rynDJUtXwvIrbOYMQZgzNAaN5lnygVLsyQBVq5sJMUvKuO8Pjz_YlDxxE-Duz0LsXvZEDTjxFBzsBXIq_Q6Aiz_NTw31JZp0FMwQoaPtmE6CN50LPa_BFd25AXnuCN24yMdt6DqVML02smVqPDPJw7MH7T-dsVqPwVzs-upRYr3fxkZ_ADos5vkHcRg55xRsTrQe0DyID7NNGK88qtEfnsy07wE7QzIbytPrLsm5TSEw9FT0jsYyj-tI9mQ=&xkcb=SoC76_M3G7IioozOhJ0AbzkdCdPP&p=11&fvj=0&vjs=3
full details of Software Engineering Intern - Customer Experience Technology (Summer 2024),Dropbox,Remote,https://ca.indeed.com/rc/clk?jk=5d6d38ea46247179&bb=Xur-TYgbjvvOAofvwi53UESTmlGIemgZT5D8ej2UU9wtAIibub_YmLpNLotrrU9OY_92ah8ksxvu7VxGxNx-MrrzQwoNl2g4oLAe4fr2s5E%3D&xkcb=SoDB67M3G7IioozOhJ0HbzkdCdPP&fccid=f1d7bca9913021e8&vjs=3
full details of Software Engineer - Ads (Remote),Quora,Remote,https://ca.indeed.com/rc/clk?jk=47743fcbce346d62&bb=Xur-TYgbjvvOAofvwi53UGFPX7EJtSNEAe-q_-yqLLUXgcRPIWWRfCFrYBfzfGjO50gl-1vfCJ28yf6TZQqgeN5mSWXaUbApsmX-26FK7b0%3D&xkcb=SoB167M3G7IioozOhJ0GbzkdCdPP&fccid=14573f60c2094076&vjs=3
full details of ETL Developer with Python,Dawn InfoTek Inc.,Hybrid remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=f4a96e66e7b5f993&bb=Xur-TYgbjvvOAofvwi53UEKy5vUDrdIoGdyxubreKAsiZ2xSqxf_qTJ45XEchbuypuR5C2TUJ_Kvp03ToYGMhzbPs_z53CB-2dQSsbxZc74%3D&xkcb=SoDo67M3G7IioozOhJ0FbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=ETL+Developer&vjs=3
full details of Full Stack Developer (Python/React/Django/PostgreSQL),SIGMA Assessment Systems  Ltd.,Remote,https://ca.indeed.com/rc/clk?jk=fc7596acff9bc104&bb=PqJfpYpy2RdDbynpE_EdEuo-KGv-X0cCuF2B6ToAep90lbzKST-2Q7OR3TAPX-iWv2ZPRTseLQ8SsFn8iQmVPMBXxwzExMj7xRfRWiZGwMA%3D&xkcb=SoDN67M3G7Ih3ewiCp0JbzkdCdPP&fccid=7e18b264ed05bcfe&cmp=SIGMA-Assessment-Systems%2C-Inc.&ti=Full+Stack+Developer&vjs=3
full details of Python Developer,Dawn InfoTek Inc.,Hybrid remote in Scarborough  ON,https://ca.indeed.com/rc/clk?jk=0b72ce92f7d37750&bb=PqJfpYpy2RdDbynpE_EdEq5qBhTrZpMILWXGNNizjG5e9zjx4zXEAeiiqlQzfSsg0TuQJHdNmWF03TOiqRQ7nBsKH_MPk-Lu3iii7qiqYZI%3D&xkcb=SoB567M3G7Ih3ewiCp0IbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=Python+Developer&vjs=3
full details of ETL Developer with Python,Dawn InfoTek Inc.,Hybrid remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=f4a96e66e7b5f993&bb=PqJfpYpy2RdDbynpE_EdEq2_4ayRJ2OzDQbi2nuHzI1QOIWavN8Sq_nj01PYVDrGBR33-yA0Sh_KbjbKFslXFfzNNen6hff6quzHOA75p8o%3D&xkcb=SoD367M3G7Ih3ewiCp0PbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=ETL+Developer&vjs=3
full details of Reporting Consultant,Aston Carter,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_Th23phn_g9j8nS8BUrqSntcchVxXYCWI2HLWdJEPNggI6e5vlUdVzZ9p5hnZtg-v5vI9s1XCvylQ5ZkoClMhut4X9Z-My9AHqDam-q60CSJKLTjIqmfiOI2V1d1YHrbUBI8iJv3faMEONwGOHxh17EiKp-Ww5VjT_3Q3LADG5r6kCXC7C4qh6TndYM6yjyBjGjcb4Uck02FNHt1W4b3Au96JwcNU5kBN4KqWNv_RJSf36a8b6zjV0xs1gKYumEaTcDRSdLVtZ1Nup7i08ShiZMiWoiQfdSmjp0cAVGBi3GEnwPwS6lAnt8Dzx_B7IauEo6Wo3y2WaWgf6wwCaVOXd0cL3wdX52BcfM7qoUlV0uACDCdLZxk8k-I4ux_ptnjF5bm004ChpdHw9TWyzW3cbxL3AV4hgW8arbV_z0WikDwN3X8VcfnkuOp8U8OQUPcSnkGOVZ8CJxZMPLWPo7rzbsqUB9PWfha8NzIxLKzLlrb54U0yLtO83-v6mxDVhytU027nvD2KVSZdGy49938aAXXUKLq0bVE1kHUKdsEnWwP4zRs3Q2V0z3O3u6BBcStr9DEd9xbUoVZxE5x2QnSkw308JztGAf1pSza3RjAJVHQtTunA5cS8zGvEx7emWRn9ulPkXXYFEmsi5pGexV9RWcl_SFMhTPY1UayQCSJw7iwg1EMdSYifumdl6E68TA6IfRv9cCKR_vwtUTMICiOb35FXfhyl_4McYKHOJSLAngxUu6Tywj_fo-HGw-eZ7gfvEyYYcg8F-oQsrosjwqwtlCWxypW2VIY1_pnEh_xkP8wVURS-goRX2zacsxfBt3NJWyFWcNJYc5x42JFynAboTYKcy1ldsL8IKYZPZbVf1x_R8FwLEmyedsQ5_KAySvtV6ZxbQwY0jymwnKmaHK2BUBXNq0Zphx97ztLoOSTIBv5NtfsDOja7aeaXEbytaH7CfYJdUw5kEQVnrnWjujRsVr9Va41YH6QUUOD6C5hZ-QbAuXandhosHjfHMeYHsu02Xi_NFbjxnJd0EU42VK2a8psJXB49QarjFU5-1QgnZAtjaOp17Pd29Akbj53DLMHyG6JFpjvYkJ5&xkcb=SoC36_M3G7Ih3ewiCp0ObzkdCdPP&p=3&fvj=0&vjs=3
full details of Software Engineering Intern - Customer Experience Technology (Summer 2024),Dropbox,Remote,https://ca.indeed.com/rc/clk?jk=5d6d38ea46247179&bb=PqJfpYpy2RdDbynpE_EdEoBm8Sfa9nWwat8-AAOSMdsbZGFIspH4XwoBlHXigKcZh7LZ8lQOdsCmHcGiAAmvwablCC3ZTIhU5pPi6tNtoDg%3D&xkcb=SoDe67M3G7Ih3ewiCp0NbzkdCdPP&fccid=f1d7bca9913021e8&vjs=3
full details of Software Engineer - Ads (Remote),Quora,Remote,https://ca.indeed.com/rc/clk?jk=47743fcbce346d62&bb=PqJfpYpy2RdDbynpE_EdEkXAPHdDeeeB6drHE-JQD4vFaTSxc0ZF49SZZ0s0sd_WWrULOg4gVjFJaABLiyR2Smym7OJl6RBd3MLxxYOTryo%3D&xkcb=SoBq67M3G7Ih3ewiCp0MbzkdCdPP&fccid=14573f60c2094076&vjs=3
full details of Full Stack Developer,Vault Tech,Remote,https://ca.indeed.com/rc/clk?jk=e76cd6e550d28152&bb=PqJfpYpy2RdDbynpE_EdEiqEaR9dIn-N94Qkwe3bchFNSyBhDK7_01ZLDbow4NuHvkV8lvbNmHQp7BVdgiu5xcbajpsHNjZWvPyIub25ANI%3D&xkcb=SoCD67M3G7Ih3ewiCp0DbzkdCdPP&fccid=50ab833d5fda7820&cmp=Vault-Tech&ti=Full+Stack+Developer&vjs=3
full details of Student Software Developer,Calian,Remote,https://ca.indeed.com/rc/clk?jk=1eb9fb9f7388113d&bb=PqJfpYpy2RdDbynpE_EdEmNy82dqmL6AqyWzAiPZVvt94zLwQp6bdtHaFO5wzwmHPwF2gywENq7hU99KwJCxdS8wYYxGCfHher1HvmV2fdk%3D&xkcb=SoA367M3G7Ih3ewiCp0CbzkdCdPP&fccid=5638f28f70e69923&vjs=3
full details of AI Researcher,Leonardo.Ai,Remote,https://ca.indeed.com/rc/clk?jk=3e0d9c2dda600c63&bb=PqJfpYpy2RdDbynpE_EdEmHXCsGqATdLzvXJfC8xxGglwD4ZMOwXijwDtKJSGvlpYHgYRRpBKaYoBjUfGtUcUzgAz01YIFHZole52bgnXzQ%3D&xkcb=SoCq67M3G7Ih3ewiCp0BbzkdCdPP&fccid=076d86222c0cb9dc&vjs=3
full details of Python Developer,Kumaran Systems Pvt Ltd,Toronto  ON,https://ca.indeed.com/rc/clk?jk=ed26309a8c947895&bb=PqJfpYpy2RdDbynpE_EdEgKdSnRyoI-AjqE-2GBHZ02sTkahiAL0Wdm4f0cAqQRTgTtPJi29kdLYl52RvaUMnBvTcWkH09HKWP7Y6-FxU1E%3D&xkcb=SoAe67M3G7Ih3ewiCp0AbzkdCdPP&fccid=1cab3323e5568ab2&cmp=KUMARAN-SYSTEMS&ti=Python+Developer&vjs=3
full details of Email Marketing Manager,CARFAX,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKxWoUkFR9lTfimVgh-uE6Dj0b8GE_Ik8E2plYzxUIRk90bsiHQux5wKHPutt6-gF7HwZlJCnfErc9yZQNOeXMd0EFHBkQ1z2pXqIATZU-WLmetFbV7VXHoBOrcLvNUWvXH7VnUzHNNCVS_yIaNbbfjNFb7BDaCAwWTMuk37NWI4D_A5Iq6ktc-Ngc5C8MBOaH5uEGDxtBetDvRD6KtZXnPANtm0Le_MF1XCgjme4Rael_QDSLiH8DRiYXIEe9Mj3CH4w0yoWB8nS1IgFmlwrxztCpj5p1RvMAGjFn4qIYQnHReQlc-pOjR0ibxtS6zwww-vNlEc0QI5ODvHtg2K0W7_KGmjxwNWvqPxURTKThzDlldSxRk5dv9sFZ22dn_Obi6OZlyzzniwgjELFaN1-o2p1gyt1gc0rLfXwaHaN4nJPSSxNV-eb4w7XFNQphm2q0aQzIUFhFZnFZPXEevgWayY_EDH6i-4wYoDjQKCqKBfUdXXZrx1VjLNHs2WHMFtIQPurG0Y7e4iNZLVTpmVM6vUSzbvIkbW3_S2ft6tBOXAZIa_ZikqplKaXab8z1jPOTwffzFSoJcg0L4siZphkW3Pm-6vyoKN7_vktEoJnYTPa8TP_k7zox_dshDUxnlhl-AS7ojTr809f1B9czRRdJUD0v9xW6cXNiMGCXztzEnSl-OC404pAUYjFGimHIVsfotR2Dvy6jmhTwahSyeXfIguiAFPDaYCSUBBqy8dDZ2DOglV8MsW0A8_vZUAyviCEsHHNW5hGrrGHI0UfENkfylKPr__yuqZc=&xkcb=SoBk6_M3G7Ih3ewiCp0HbzkdCdPP&p=10&fvj=0&vjs=3
full details of Full Stack Developer,AlertPass Inc.,Remote,https://ca.indeed.com/rc/clk?jk=3cf200a9b4d5d6fe&bb=PqJfpYpy2RdDbynpE_EdEufWVMl22LJmqQpF0l-qYB_KNbqdYddjEtHj5acLS3gQy2-fl1XDr_FZ6wm0IyfHRrtqxVtaHZPNNLcWuuJgbi4%3D&xkcb=SoAk67M3G7Ih3ewiCp0GbzkdCdPP&fccid=4231be6fb1674294&cmp=AlertPass-Inc.&ti=Full+Stack+Developer&vjs=3
full details of Practice Leader,Dawson Dental,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANrw3RnOfk8nMeIDbM3EMdSSvB44iWsyISSjCC52XPIN9wbl6J64wayYJdded6WBmYJxyM2QW4ZeNIoD-2QnSDJ7aPfyGjzAjIRFxqC9PvJVHfUK2qXGxf1QEg8EwMgL-fSWfl9RtxBFajV6Q04FAL7O4JkWacFDu0g5_p8ap3rjsCgGjo2ByDPIM_IFkGYqU9f0eEak9RRGq72FDptD6jF0WhOuwezLaGWOlCTjZhCrEH4KZeBXFiwlUEKADQZzMH5uW57RHa4lUxzWs5txEjxurW71qRCfGC7A6HNysQsfo8yU9w8iQs24jz003pcbopgsjF-772fvdwPFDSLfScAi6jJhdMFTYmYrX8KA_mFO0-v7vGhpf6-0lcrHfb7-8e-DzbsRxaDYZ-wD7mVhG7KVRCJTGAj-RXMnnBHYvbsWDN_RNMmDMyGAQDg3XlObQQ0W7ubBwMiStvLTv-zTsL_qfmQBkfDx7-JW857VEo7PDu4BeHPRnCYzMvJJQIDGOGXmLaBd3tn4hcTdfC5d2Z32K5W6dhzE0Q9YquBNOb5Ilbk_P5gIAWPeQgQamXlSuCG25J_s0RhyHPiIUWLAKn&xkcb=SoBN6_M3G7Ih3ewiCp0FbzkdCdPP&p=12&fvj=1&vjs=3
full details of Machine Learning Engineer-LLM Infrastructure,Cloudious,Halifax  NS,https://ca.indeed.com/rc/clk?jk=02a5a21eb357f347&bb=PqJfpYpy2RdDbynpE_EdEo6dvVvOVSRdJBDJw2rIelkzBuDz4nBi98vWlplk71Ibxv-3eS_xB1-JQN2SaMOJs4wNFUJ7VLV28fnZeLFXSb8%3D&xkcb=SoAN67M3G7Ih3ewiCp0EbzkdCdPP&fccid=be7de45f5aa74ad3&cmp=Cloudious&ti=Machine+Learning+Engineer&vjs=3
full details of Intermediate Web Developer,JASCO Applied Sciences,Hybrid remote in Dartmouth  NS,https://ca.indeed.com/rc/clk?jk=5665654c5ff2af0a&bb=PqJfpYpy2RdDbynpE_EdElqC_8waYbvM2aEzAqt7H8MgYevR_BHj-5eme4P7sw-ec8nAOHoSxsLcTTpgj3JDjfRpkmf0WiWM6qdfuQi5R48%3D&xkcb=SoAq67M3G7Ih3ewiCp0bbzkdCdPP&fccid=db03bc5115676f93&cmp=JASCO-Applied-Sciences&ti=Web+Developer&vjs=3
full details of Software Engineer,Teix Financial Inc,Hybrid remote in Aurora  ON,https://ca.indeed.com/rc/clk?jk=41b3ffa913ed4dc6&bb=kpqyl6AiKS2wVHyzoYe_tcBTpPuxKUbsHL7KbmJHbGZjrtkHJpgHAJL05sAZUYLWNp9-uqsG_f1ukmjuMKyhh52_cOLitL5v-nkUWSe8pSM%3D&xkcb=SoB767M3G7IhTvRSTh0KbzkdCdPP&fccid=2c58022b1d16e7af&cmp=Teix-Financial&ti=Software+Engineer&vjs=3
full details of Sr. Python Developer,Atos Syntel,Vancouver  BC,https://ca.indeed.com/rc/clk?jk=12a7772541e1a756&bb=kpqyl6AiKS2wVHyzoYe_tZACWULMDPJl5OTae0jKT3-5WJGvVGim1qiiQIauEY8Q6wp6u3aC5HC33GaQ7nq70Xu74ovlFo7m7GYOXwQKCE4%3D&xkcb=SoDm67M3G7IhTvRSTh0JbzkdCdPP&fccid=f67c57d420c3161d&cmp=Atos-Syntel&ti=Python+Developer&vjs=3
